,0,1,2
0,-0.07397732621976093,1.0079783643023665,-0.27029104014150473
1,-0.08725877511352192,1.0064498568024396,-0.27837872487813226
2,-0.10269209841080984,1.0040542875970608,-0.2886476103279854
3,-0.1210312681652041,1.0005732930012101,-0.30188335091719515
4,-0.1429922924046994,0.9957154972410983,-0.31881872711894865
5,-0.16924192726113327,0.989125885071064,-0.3401113614650043
6,-0.20037289356354068,0.9804244939811271,-0.36630949295045384
7,-0.2368490449219754,0.969268792901949,-0.3977900299796335
8,-0.27892935659520346,0.9554274178049824,-0.43467459322740376
9,-0.3265924092343043,0.938852988937633,-0.47675152553172967
10,-0.37948215744537256,0.9197335814918791,-0.5234367473493661
11,-0.43688449942869806,0.8985016389503045,-0.5737806878585607
12,-0.49776180324318947,0.8757926517950234,-0.6265292415232272
13,-0.5608965830614735,0.8523492459113233,-0.680275739216488
14,-0.6251253723142985,0.8288796938367425,-0.7336927495435701
15,-0.689530053671678,0.8059199022739865,-0.7857325648364282
16,-0.7534716745861405,0.7837603292403185,-0.8356928981200588
17,-0.8164776781994204,0.7624550810401094,-0.883152489935962
18,-0.8780933280655574,0.7418793432937665,-0.9278729952043722
19,-0.9378334529096183,0.7217917771684973,-0.9697808334213414
20,-0.995278763234574,0.7018628416351699,-1.009032850202867
21,-1.0502264951264706,0.6816342483793791,-1.046040534901681
22,-1.1027914210789116,0.6604370696593137,-1.0813935466444355
23,-1.1534274935332423,0.6373532636358473,-1.1157622237913307
24,-1.2028797450727406,0.611249901091755,-1.1498381156102864
25,-1.2520768297469087,0.5808541392756571,-1.1842938928477142
26,-1.3019828736506966,0.5448538005833672,-1.219736237203683
27,-1.3534376908858363,0.5020231513935114,-1.2566377889359974
28,-1.407004616900334,0.4513735198826433,-1.2952500015926598
29,-1.4628365281412774,0.3923359205670103,-1.335514934314868
30,-1.5205729372192358,0.3249771637457991,-1.376989904211243
31,-1.5792931429999142,0.25021014941598346,-1.4188060200552426
32,-1.6375825845505858,0.16987950632902632,-1.4597115373175693
33,-1.6937636232790962,0.0865590591130383,-1.4982486989736308
34,-1.7462369813626928,0.0030215971361759013,-1.5330326166676087
35,-1.793765554850759,-0.07837291663611703,-1.5629976809883532
36,-1.8355760609972596,-0.1560391645503761,-1.58749556538715
37,-1.8713153707226409,-0.22922207495061742,-1.606263793034916
38,-1.9009574085977745,-0.29788841075740374,-1.6193483407752063
39,-1.9247023635443734,-0.36254416511273874,-1.6270253382600461
40,-1.942880247347912,-0.42401565725044327,-1.6297343746644781
41,-1.9558728106300665,-0.4832313364011709,-1.628027916905959
42,-1.9640637584073002,-0.5410292735273762,-1.6225366055455321
43,-1.9678194420582207,-0.5980108993211072,-1.613945003723872
44,-1.9674911459444544,-0.654496072874988,-1.6029570268230882
45,-1.9634220558885729,-0.7106327306006486,-1.5902315935907163
46,-1.9559529222005243,-0.7665749690794418,-1.57631540185356
47,-1.9454342094402066,-0.8225547820240168,-1.5616267442289962
48,-1.9322474643201735,-0.8788074618841265,-1.5465009934795715
49,-1.9168293434737549,-0.9354368181979786,-1.5312563022023429
50,-1.8996868548116574,-0.9922862272079859,-1.5162317113199788
51,-1.8813985256546448,-1.0488434993765343,-1.5017844108752474
52,-1.8626050570623993,-1.1042042184928236,-1.4882669932037231
53,-1.8439785731187144,-1.1571460145919652,-1.4759977785604679
54,-1.8261605793580307,-1.206338106138056,-1.465223238096528
55,-1.8096940048666237,-1.2505936015332004,-1.456088157591167
56,-1.7949785027537513,-1.2890525496604874,-1.4486336442246097
57,-1.7822508494195344,-1.3212678424967252,-1.4428171974156587
58,-1.7715864256978522,-1.3472024183422537,-1.4385363671746874
59,-1.7629191255471988,-1.3671638377113027,-1.4356478138288293
60,-1.7560715107596467,-1.3817170780046382,-1.4339824010272455
61,-1.7507895155563125,-1.3915948719970892,-1.4333586826007816
62,-1.7467781681608245,-1.3976128418659692,-1.4335948236599483
63,-1.7437331615694065,-1.400600505345464,-1.4345168798727752
64,-1.7413659740776768,-1.4013518560580225,-1.4359626919733732
65,-1.7394242678103682,-1.4005898213383043,-1.4377826066535948
66,-1.7377062551424802,-1.3989435498016929,-1.4398381740285837
67,-1.7360626764631244,-1.3969471955798964,-1.4419986820713087
68,-1.7343870870002924,-1.395058946389758,-1.4441355419784676
69,-1.7326038500993284,-1.3936853553280049,-1.446115280395387
70,-1.7306593875011855,-1.3931985579015802,-1.4477939293075612
71,-1.7285178325757702,-1.393935725333791,-1.449018549574627
72,-1.7261630286778127,-1.3961705041377186,-1.4496401689779206
73,-1.7236060418910504,-1.400058299255859,-1.4495370160297685
74,-1.7208918986399855,-1.4055753991665356,-1.4486406870362702
75,-1.718100651963488,-1.412475375660684,-1.44695677279508
76,-1.7153407987666325,-1.4202818602197222,-1.4445744096794433
77,-1.7127281084142794,-1.4283424208515714,-1.4416531580539829
78,-1.7103478210951233,-1.435944873744113,-1.4383763115675512
79,-1.7082197505448973,-1.442441997085859,-1.4348888712590435
80,-1.7062880534267097,-1.4473287828168218,-1.4312575705799888
81,-1.7044337364499584,-1.450267741557799,-1.4274683512365147
82,-1.7024991331176218,-1.4510765985418361,-1.4234522938490684
83,-1.7003190444686844,-1.4496929027801246,-1.4191245163753246
84,-1.6977502804915925,-1.4461447371670872,-1.414419065351863
85,-1.6946922835432219,-1.4405476120172065,-1.4093115583024756
86,-1.691098838807845,-1.4331241922791598,-1.40383273681586
87,-1.6869821184161025,-1.4242391771490814,-1.398075661629309
88,-1.682409442705454,-1.4144400859429511,-1.3921922221231682
89,-1.677485327379886,-1.40449048586673,-1.386361377990497
90,-1.6722884502840105,-1.3953794000959174,-1.3806974784884474
91,-1.666784532265866,-1.388271382621932,-1.3751383292258565
92,-1.660849195428102,-1.38434269093576,-1.3694592917189916
93,-1.6544289506159977,-1.3845321563616924,-1.3634170023882672
94,-1.6476735960572775,-1.3893695674235615,-1.3568430091004715
95,-1.6409722824296407,-1.3989589191976841,-1.3496558906551246
96,-1.6349181411441867,-1.4130409904653327,-1.3418358802140578
97,-1.630155921155307,-1.4310993839908055,-1.3333002805776595
98,-1.6271759314622423,-1.4524739843592476,-1.3237341389480886
99,-1.6262094608811992,-1.4764098261944854,-1.3125239552936347
100,-1.6272348998829078,-1.502044288815286,-1.2988026136312205
101,-1.630017224297372,-1.5283771208614516,-1.281543046822276
102,-1.6341595876736619,-1.5542428688982002,-1.2596903579543635
103,-1.6391642062575977,-1.578280826759114,-1.2323337669156842
104,-1.644467707007374,-1.5988950129345103,-1.1988856698158312
